Location,2011_Employee Contribution,2011_Total,2011_Deductible,2012_Employee Contribution,2012_Total,2012_Deductible,2013_Employee Contribution,2013_Total,2013_Deductible,2014_Employee Contribution,2014_Total,2014_Deductible,2015_Employee Contribution,2015_Total,2015_Deductible,2016_Employee Contribution,2016_Total,2016_Deductible,2011_Income,2012_Income,2013_Income,2014_Income,2015_Income,2016_Income,2012_Votes,2016_Votes,Shift_Flag,2011_Total_population,2011_Total_Age18,2011_Total_Age18-64,2011_Total_Age65,2011_Total_White,2011_Total_Black,2011_Total_Native,2011_Total_Asian,2011_Total_Hawaiian,2011_Total_OtherRace,2011_Total_MultiRace,2011_Total_Household,2011_Total_Inc25000,2011_Total_Inc50000,2011_Total_Inc75000,2011_Total_Inc100000,2011_Total_Inc999999,2011_Uninsured,2011_Uninsured_Age18,2011_Uninsured_Age18-64,2011_Uninsured_Age65,2011_Uninsured_White,2011_Uninsured_Black,2011_Uninsured_Native,2011_Uninsured_Asian,2011_Uninsured_Hawaiian,2011_Uninsured_OtherRace,2011_Uninsured_MultiRace,2011_Uninsured_Household,2011_Uninsured_Inc25000,2011_Uninsured_Inc50000,2011_Uninsured_Inc75000,2011_Uninsured_Inc100000,2011_Uninsured_Inc999999,2012_Total_population,2012_Total_Age18,2012_Total_Age18-64,2012_Total_Age65,2012_Total_White,2012_Total_Black,2012_Total_Native,2012_Total_Asian,2012_Total_Hawaiian,2012_Total_OtherRace,2012_Total_MultiRace,2012_Total_Household,2012_Total_Inc25000,2012_Total_Inc50000,2012_Total_Inc75000,2012_Total_Inc100000,2012_Total_Inc999999,2012_Uninsured,2012_Uninsured_Age18,2012_Uninsured_Age18-64,2012_Uninsured_Age65,2012_Uninsured_White,2012_Uninsured_Black,2012_Uninsured_Native,2012_Uninsured_Asian,2012_Uninsured_Hawaiian,2012_Uninsured_OtherRace,2012_Uninsured_MultiRace,2012_Uninsured_Household,2012_Uninsured_Inc25000,2012_Uninsured_Inc50000,2012_Uninsured_Inc75000,2012_Uninsured_Inc100000,2012_Uninsured_Inc999999,2013_Total_population,2013_Total_Age18,2013_Total_Age18-64,2013_Total_Age65,2013_Total_White,2013_Total_Black,2013_Total_Native,2013_Total_Asian,2013_Total_Hawaiian,2013_Total_OtherRace,2013_Total_MultiRace,2013_Total_Household,2013_Total_Inc25000,2013_Total_Inc50000,2013_Total_Inc75000,2013_Total_Inc100000,2013_Total_Inc999999,2013_Uninsured,2013_Uninsured_Age18,2013_Uninsured_Age18-64,2013_Uninsured_Age65,2013_Uninsured_White,2013_Uninsured_Black,2013_Uninsured_Native,2013_Uninsured_Asian,2013_Uninsured_Hawaiian,2013_Uninsured_OtherRace,2013_Uninsured_MultiRace,2013_Uninsured_Household,2013_Uninsured_Inc25000,2013_Uninsured_Inc50000,2013_Uninsured_Inc75000,2013_Uninsured_Inc100000,2013_Uninsured_Inc999999,2014_Total_population,2014_Total_Age18,2014_Total_Age18-64,2014_Total_Age65,2014_Total_White,2014_Total_Black,2014_Total_Native,2014_Total_Asian,2014_Total_Hawaiian,2014_Total_OtherRace,2014_Total_MultiRace,2014_Total_Household,2014_Total_Inc25000,2014_Total_Inc50000,2014_Total_Inc75000,2014_Total_Inc100000,2014_Total_Inc999999,2014_Uninsured,2014_Uninsured_Age18,2014_Uninsured_Age18-64,2014_Uninsured_Age65,2014_Uninsured_White,2014_Uninsured_Black,2014_Uninsured_Native,2014_Uninsured_Asian,2014_Uninsured_Hawaiian,2014_Uninsured_OtherRace,2014_Uninsured_MultiRace,2014_Uninsured_Household,2014_Uninsured_Inc25000,2014_Uninsured_Inc50000,2014_Uninsured_Inc75000,2014_Uninsured_Inc100000,2014_Uninsured_Inc999999,2015_Total_population,2015_Total_Age18,2015_Total_Age18-64,2015_Total_Age65,2015_Total_White,2015_Total_Black,2015_Total_Native,2015_Total_Asian,2015_Total_Hawaiian,2015_Total_OtherRace,2015_Total_MultiRace,2015_Total_Household,2015_Total_Inc25000,2015_Total_Inc50000,2015_Total_Inc75000,2015_Total_Inc100000,2015_Total_Inc999999,2015_Uninsured,2015_Uninsured_Age18,2015_Uninsured_Age18-64,2015_Uninsured_Age65,2015_Uninsured_White,2015_Uninsured_Black,2015_Uninsured_Native,2015_Uninsured_Asian,2015_Uninsured_Hawaiian,2015_Uninsured_OtherRace,2015_Uninsured_MultiRace,2015_Uninsured_Household,2015_Uninsured_Inc25000,2015_Uninsured_Inc50000,2015_Uninsured_Inc75000,2015_Uninsured_Inc100000,2015_Uninsured_Inc999999,2016_Total_population,2016_Total_Age18,2016_Total_Age18-64,2016_Total_Age65,2016_Total_White,2016_Total_Black,2016_Total_Native,2016_Total_Asian,2016_Total_Hawaiian,2016_Total_OtherRace,2016_Total_MultiRace,2016_Total_Household,2016_Total_Inc25000,2016_Total_Inc50000,2016_Total_Inc75000,2016_Total_Inc100000,2016_Total_Inc999999,2016_Uninsured,2016_Uninsured_Age18,2016_Uninsured_Age18-64,2016_Uninsured_Age65,2016_Uninsured_White,2016_Uninsured_Black,2016_Uninsured_Native,2016_Uninsured_Asian,2016_Uninsured_Hawaiian,2016_Uninsured_OtherRace,2016_Uninsured_MultiRace,2016_Uninsured_Household,2016_Uninsured_Inc25000,2016_Uninsured_Inc50000,2016_Uninsured_Inc75000,2016_Uninsured_Inc100000,2016_Uninsured_Inc999999
United States,4949,18766,2773,4719,17238,2587,4737,17176,2669,4876,17973,2849,5023,18472,3062,4956,17710,3069,62529,56837,55656,57904,60270,57617,N/A,N/A,N/A,306560685,73774529,192699903,40086253,227607798,37897574,2480077,14938170,443469,14548609,8575563,302896568,58747014,69575450,57206409,40677643,76690052,46375539,5527657,40455941,391941,30450317,6716957,686081,2303404,82568,4891837,1231471,45927580,14047538,14807095,8541026,4073216,4458705,303984241,73835298,190790030,39358913,226004684,37487829,2465862,14774224,500618,14602061,8148963,300310167,53325655,66917877,56812299,41860063,81394273,45206153,5953533,38883933,368687,29609697,6551035,703806,2193643,86649,4898987,1162336,44783793,12557992,14360624,8577598,4307482,4980097,306448495,73735147,192168613,40544735,227333382,37849361,2477255,15149304,512675,14542162,8584356,302743821,54138279,67162270,56477530,41895266,83070476,45569665,5614174,39562863,392628,29854565,6629359,691616,2265542,90243,4830332,1208008,45136869,12659348,14393817,8594954,4383348,5105402,309082258,73636556,193574369,41871333,228624830,38271664,2502365,15629424,522501,14557838,8973636,305352123,53986004,67083731,56465445,41964369,85852574,43878131,5217055,38249014,412062,28742601,6385674,669741,2204705,88625,4595091,1191694,43450863,12050184,13777882,8300293,4257056,5065448,311516332,73546970,194655748,43313614,229729186,38635817,2504738,16152617,533665,14671064,9289245,307759430,53744167,66925185,56729105,42152813,88208160,40446231,4756380,35276066,413785,26486838,5893638,627102,2020682,82052,4232966,1102953,40043366,11064029,12652796,7675118,3920009,4731414,318175867,73503793,196766286,47905788,231460567,39628426,2609691,17468097,543440,16141970,10259268,314353742,48710140,64287849,56883062,43557076,100915615,27304297,3277474,23654038,372785,17767367,3838328,501963,1185188,53102,3204099,747453,27012551,6580824,8138341,5481384,2936331,3875671
Alabama,4447,16165,1864,4685,14220,1713,4062,14442,1726,4617,15488,2089,5978,17013,1893,4686,16098,2193,53205,48423,44343,45625,47465,46257,Republican,Republican,Republican,4720067,1122125,2944024,653918,3269515,1250035,23925,53772,0,57643,63284,4673401,1200677,1183476,874235,583393,831620,673964,59061,612682,2221,405080,214708,3762,10299,0,30463,9353,667052,282690,210801,95461,38511,39589,4693822,1128220,2921943,643659,3273898,1222816,25721,54525,1237,49984,65641,4648276,1107597,1162275,881584,598966,897854,654376,65095,587026,2255,396975,206590,5003,10651,180,25225,9752,647988,256800,209538,96225,44928,40497,4716915,1121332,2934586,660997,3279110,1229722,24787,56493,1325,54633,70845,4670902,1115851,1167480,875403,597877,914291,655394,57347,595377,2670,394013,209933,4210,10142,277,26764,10055,648719,260002,207966,97056,43549,40146,4735953,1115913,2940927,679113,3281239,1237514,24675,57984,1370,58057,75114,4689380,1112559,1166598,869809,597667,942747,640276,51606,586081,2589,384511,204124,4050,10721,212,26761,9897,633760,254386,200845,94912,43071,40546,4749786,1110011,2940219,699556,3279455,1244271,23410,59289,2377,60402,80582,4702289,1110312,1155577,874165,602726,959509,601159,45500,552810,2849,358857,192547,3468,9860,529,26272,9626,594307,239270,188853,87143,40065,38976,4782529,1098052,2921503,762974,3269825,1269831,24269,65061,0,69670,82370,4732429,1006136,1111175,877696,642373,1095049,434973,26732,404855,3386,257331,138242,3932,6572,0,22028,6464,429351,159509,131828,71534,36371,30109
Alaska,5302,20080,2487,4476,19944,2057,5100,22198,2459,4564,21273,2850,4702,22490,2804,4843,22490,2845,71745,70909,65512,72982,80101,76440,Republican,Republican,Republican,699272,187708,454580,56984,466353,21333,99999,37159,7551,7912,58965,684433,75133,123262,135783,110535,239720,140660,22109,117488,1063,73774,3288,37949,9612,1060,1171,13806,135418,20036,33565,30353,21206,30258,686905,186233,446229,54443,460307,22037,97025,37415,7191,7411,55519,672122,68392,117122,122972,110874,252762,134111,23395,109933,783,69430,3312,34967,9528,1545,1508,13821,129426,20451,31242,27944,19896,29893,696885,187469,451633,57783,464876,22909,99230,38714,7803,7866,55487,681959,71031,114112,123541,111508,261767,136696,23404,112463,829,71618,3532,34832,9904,1553,1835,13422,131948,20417,30527,27894,20706,32404,704405,187648,455704,61053,467338,22956,100567,40417,8129,7781,57217,689551,70278,114068,122635,108575,273995,134276,22497,110726,1053,69031,3714,35165,9728,1493,1757,13388,129788,19669,30058,27032,19602,33427,709358,187667,457091,64600,467593,22825,99135,42298,8645,8565,60297,694470,70131,113396,124547,108705,277691,128964,22409,105592,963,65111,3361,33701,9483,1437,1731,14140,124762,18945,28597,25595,18974,32651,718419,186839,457184,74396,461203,22186,105728,44949,9534,12225,62594,703555,60651,103730,124522,107234,307418,100628,18594,81387,647,43317,2179,30839,8471,1226,1998,12598,97769,12226,18080,23993,15185,28285
Arizona,5955,18556,3131,5137,16990,2893,5116,16270,2963,5116,16765,3511,5341,18128,3205,5305,17484,3652,60739,52411,54224,53153,55718,53558,Republican,Republican,Republican,6378280,1621830,3845434,911016,5068886,252686,283758,175837,11100,394538,191475,6328566,1380541,1606038,1241218,796560,1304209,1095010,208419,876902,9689,794337,46062,78087,26507,3347,111884,34786,1088037,353950,358176,191812,90597,93502,6304406,1622329,3799152,882925,5011454,249971,278395,176227,11462,399797,177100,6255229,1196942,1540140,1234385,848223,1435539,1068823,213851,844938,10034,782682,39292,83509,24432,2301,109818,26789,1061316,294198,356397,207556,98722,104443,6373367,1618689,3834412,920266,5057587,257390,281570,181622,11661,395096,188441,6323823,1238373,1558321,1237105,850107,1439917,1073491,200680,862886,9925,783730,41939,79882,26877,2086,110045,28932,1064470,301089,358821,205152,98712,100696,6453706,1618368,3872790,962548,5098338,262042,285357,189567,11861,409000,197541,6402179,1247130,1567152,1250729,850088,1487080,1050638,193960,846061,10617,756628,40997,77696,25549,2165,117801,29802,1041252,295972,349382,201840,95874,98184,6533509,1615216,3910423,1007870,5135115,268316,289037,198336,11707,422432,208566,6479648,1250067,1563603,1266963,864721,1534294,982384,178507,792888,10989,700041,37899,75327,24259,2067,113234,29557,972766,279018,323048,189330,88848,92522,6824645,1629040,4036165,1159440,5181587,288061,300673,219165,12719,578485,243955,6761704,1144585,1518282,1319761,959634,1819442,681238,119446,554091,7701,436960,23897,62749,15715,1742,118571,21604,672830,157113,200441,141193,80620,93463
Arkansas,4526,15583,2662,4406,14812,2193,4234,14483,2075,3895,15263,2791,4553,15162,2803,4917,14929,2632,51596,43469,42776,48478,45641,44334,Republican,Republican,Republican,2885212,708888,1763728,412596,2259755,448648,16534,34342,7064,62379,56490,2854185,749975,784025,551735,330514,437936,492310,39950,451451,909,362335,82195,3180,8655,2481,21658,11806,487911,187624,165897,81496,28708,24186,2862023,707308,1748461,406254,2248023,438410,17168,35577,5446,62102,55297,2829929,695502,783530,556248,337668,456981,482623,45463,435855,1305,356184,81386,3739,7234,1536,23165,9379,478448,175037,163739,78756,32493,28423,2879435,707821,1755753,415861,2257528,440884,17651,37637,5643,62498,57594,2847000,700021,780790,556379,333604,476206,481547,42638,437520,1389,355078,81253,3857,7658,1759,22538,9404,477659,175769,161057,79571,30161,31101,2893883,707327,1760265,426291,2268822,444249,17971,38306,6223,59764,58548,2860990,684011,785616,554043,340345,496975,455936,41342,413116,1478,336425,77402,3635,6615,2089,20910,8860,452271,159519,155459,76332,30888,30073,2905193,705491,1762305,437397,2270987,445434,18120,40189,6766,61792,61905,2871619,684895,779635,558987,342857,505245,411433,38276,371339,1818,302547,69223,3230,6257,1902,20107,8167,407710,145041,138877,69382,27202,27208,2934272,705155,1757516,471601,2253566,449341,18556,41511,8808,85843,76647,2899330,610463,764918,580696,353642,589611,231775,25543,204066,2166,160232,30010,3106,3578,2264,24554,8031,228871,63517,77219,48784,16587,22764
California,4959,19784,2517,4671,17712,2564,4841,17886,2557,5347,18825,2715,4955,19244,2878,4829,17458,2790,66668,63525,61645,65275,67863,67739,Democratic,Democratic,Democratic,37161789,9252466,23607468,4301855,23389626,2158323,281437,4944665,144054,4672723,1570961,36796741,6352881,7944068,6531148,4810268,11158376,6725604,744797,5906415,74392,3865488,326798,67769,721649,29830,1495963,218107,6665539,1639157,2074203,1366519,716311,869349,36783532,9266440,23312469,4204623,22935222,2156989,283590,4892647,141388,4850186,1523510,36412470,5625118,7507244,6449034,4912767,11918307,6536932,818563,5647130,71239,3681905,328659,68353,681463,27362,1545175,204015,6478491,1425221,1983533,1348561,739696,981480,37130876,9225966,23554540,4350370,23154030,2161348,278871,4977926,143459,4810719,1604523,36756385,5787794,7571087,6431224,4931699,12034581,6601519,766571,5760487,74461,3738126,333441,66675,700243,27252,1520253,215529,6541713,1452169,1996848,1350637,751181,990878,37551064,9195784,23834226,4521054,23343620,2172366,280105,5102926,144597,4832170,1675280,37172040,5837296,7610286,6430094,4929913,12364451,6267799,687607,5503430,76762,3561664,309010,64567,665903,26343,1429775,210537,6211335,1374873,1895529,1271623,716976,952334,37912312,9158861,24052189,4701262,23446872,2177853,279850,5234672,147706,4915217,1710142,37527745,5864263,7602072,6455613,4941851,12663946,5573845,585022,4914155,74668,3164178,268202,59512,591577,22989,1281189,186198,5525999,1233626,1684303,1130128,629165,848777,38763815,9079778,24431848,5252189,23136911,2186120,284213,5575522,147361,5579896,1853792,38366484,5188379,7092405,6391637,5023815,14670248,2843903,267815,2521235,54853,1535819,123175,31970,267910,10683,788375,85971,2821571,530103,788298,595505,351362,556303
Colorado,5804,18551,3265,4808,17867,2677,4637,17827,2951,4858,17193,3340,5170,18065,3295,4822,17459,3481,73241,63787,67906,65764,71019,65685,Democratic,Democratic,Democratic,5024885,1226828,3238825,559232,4252010,190283,48934,142057,5429,219176,166996,4981540,823267,1088843,950015,683126,1436289,759619,115726,640336,3557,589900,32099,12570,27100,1100,72978,23872,755533,215314,260186,152465,59502,68066,4949633,1217961,3189003,542669,4175755,188778,46877,135320,5588,234845,162470,4905236,743053,1023015,928994,721683,1488491,757881,123566,630193,4122,588914,33957,12706,21224,1251,76100,23729,752808,205368,245551,150528,73274,78087,5025295,1225807,3229893,569595,4231574,190595,46762,140236,6135,239093,170900,4979767,754364,1036059,927891,736201,1525252,748808,112170,632592,4046,581089,32772,12187,22059,1236,75471,23994,743363,197172,240874,150159,74753,80405,5105164,1232503,3273947,598714,4296594,195898,47529,145093,6241,237712,176097,5058545,741790,1042013,932537,742907,1599298,710571,103100,603279,4192,549877,30398,10578,21497,1368,72764,24089,705608,175167,227861,146045,73316,83219,5187214,1239895,3318050,629269,4377460,201480,47758,151919,7230,221968,179399,5140139,725212,1040099,946170,753931,1674727,638851,88988,545388,4475,498114,26285,9201,19734,1096,63113,21308,634770,148168,202773,134851,67172,81806,5447760,1258167,3461702,727891,4580019,222864,53271,174876,8042,226592,182096,5400399,640636,997883,990715,822775,1948390,409743,50649,353834,5260,317853,12494,7944,9784,939,49967,10762,407702,71900,122130,95742,49433,68497
Connecticut,4748,20319,3267,4580,18818,3099,5917,18082,3200,4346,19558,3324,5848,19482,3816,5296,18637,4041,81719,71577,72632,75715,77730,73433,Democratic,Democratic,Democratic,3522709,802350,2227298,493061,2749750,348406,7172,140560,0,189455,85950,3457903,477847,581314,553382,492892,1352468,308945,23377,281302,4266,192239,42307,1065,15290,0,50097,7867,306401,72208,86698,64930,34055,48510,3514027,811021,2216175,486831,2763316,344719,8091,137887,1432,172889,85693,3449352,430799,544677,548532,498784,1426560,309481,28798,276775,3908,196656,44248,1550,15388,229,43836,7574,306045,62964,82911,63108,38816,58246,3526628,802863,2226234,497531,2754928,350671,8338,141240,1261,177986,92204,3459474,436402,546662,543415,489106,1443889,314174,27684,282245,4245,194014,46628,1861,15696,247,48156,7572,310685,63089,83232,63591,38956,61817,3535851,793950,2233238,508663,2752182,354974,7687,145222,1088,178007,96691,3467937,436368,551543,537355,484728,1457943,301810,27552,269785,4473,185913,43716,1350,16186,209,47000,7436,298520,58383,80320,59976,38144,61697,3538599,783526,2234697,520376,2742595,359798,8547,150229,966,176737,99727,3470460,434591,546550,538154,474013,1477152,279629,27518,247825,4286,170915,40405,1420,15111,145,44923,6710,276723,53182,73298,56913,34281,59049,3525154,751459,2217434,556261,2708598,368742,9645,161709,0,165687,109514,3457213,389495,530684,519463,459212,1558359,172214,20867,148754,2593,108192,21876,1247,10186,0,26308,4308,169952,26103,48249,36279,20975,38346
Delaware,5469,20006,2577,4514,17379,2313,5313,17254,2507,4542,18900,2236,4775,20177,2169,5393,18648,3112,68283,54559,55956,62075,61592,61757,Democratic,Democratic,Democratic,892132,204295,557777,130060,628933,187121,2770,29831,0,19572,23883,879693,125934,186532,159816,136761,270650,83995,9379,73942,674,53369,18535,701,2598,0,6737,2055,83506,19396,24526,15591,7990,16003,884582,205246,552306,127030,625202,186762,2838,29086,375,19636,20683,872003,120814,175697,166903,135001,273588,84434,10562,73286,586,53645,18446,608,2993,0,6962,1780,83724,16710,25261,17015,9695,15043,893326,204585,556992,131749,626805,189220,2963,30292,560,20667,22819,880530,122232,177587,167462,133527,279722,84270,9727,73728,815,54563,17422,542,3329,22,6680,1712,83596,15789,25533,16904,10813,14557,902268,204149,560990,137129,630808,192552,3078,31652,485,20040,23653,889243,122331,178325,166486,134260,287841,81122,9576,70730,816,52585,16556,590,3921,28,5675,1767,80465,15745,25103,16708,9581,13328,911788,203780,564759,143249,634078,195051,3087,33537,290,20765,24980,898601,124021,177818,167441,136028,293293,75107,8520,65344,1243,47846,15728,443,3703,56,5851,1480,74569,15007,22714,15043,8778,13027,937935,203704,571596,162635,651055,204442,4055,35487,0,15257,25595,924848,118693,180022,171648,139639,314846,53139,6243,45282,1614,32397,12975,353,1526,0,2970,2171,52861,9825,13997,13642,6240,9157
District of Columbia,5407,20745,2042,4959,19169,1602,5528,18497,1956,4666,18388,1634,5460,20373,2107,5476,18864,2234,69021,72690,65017,73682,74725,75506,Democratic,Democratic,Democratic,608165,105312,435158,67695,243473,303344,0,22443,0,24192,12760,576952,118606,93387,84308,57398,223253,42007,4133,37374,500,12093,24146,0,1433,0,3755,580,39606,11211,10650,6365,4125,7255,594942,103725,424471,66746,235767,302711,2129,21279,301,20353,12402,564001,111461,98190,77657,61553,215140,40406,2894,36800,712,11057,22962,7,1798,0,3933,649,38600,9574,10014,6920,4373,7719,608630,105045,435555,68030,244554,303994,1989,21598,233,21913,14349,577512,114620,95764,78717,60838,227573,40567,2600,37470,497,10839,23121,9,1807,14,3888,889,38740,8851,9959,7164,4385,8381,623129,107757,445984,69388,251618,307507,2071,22551,195,23733,15454,591935,112395,93635,80207,61462,244236,40009,2629,36781,599,10329,22149,64,2081,18,4718,650,38027,8170,8897,7637,4325,8998,636610,111064,454655,70891,256486,309963,2141,23660,250,26954,17156,605476,112562,95321,78224,62449,256920,37011,2591,33894,526,9025,19835,60,1803,17,5464,807,34920,7567,8583,6903,3607,8260,670985,120313,473878,76794,273546,314308,0,26436,0,37132,17556,639352,115364,89106,73991,62232,298659,26346,3741,22012,593,5316,13461,0,707,0,6183,627,24975,6387,4928,4947,1914,6799
